"Country (S)","RollOut (S)"
"Argentina","r19_arg"
"Brazil","r19_br"
"Canada","r08_na"
"China","r17_ap"
"Denmark","r07_nor"
"Egypt","r16.2_eg"
"France","r03_otv,r03_vws,r09_otv,r11_sti,r21_vns"
"Germany","r05_da"
"Hong Kong","r17_ap"
"India","r16.2_in"
"Indonesia","r17_ap"
"Ireland","r10_uki"
"Italy","r15_ita"
"Malaysia","
  r17_ap"
"Mexico","r19_mex"
"Netherlands","r14_bnl"
"Norway","r07_nor"
"Philippines","r17_ap"
"Poland","r07_nor"
"Saudi Arabia","r16.1_me"
"Singapore","r17_ap"
"South Africa","r09.1_sa"
"Spain","r12_sp"
"Switzerland","r07_nor"
"Taiwan","r17_ap"
"Thailand","r17_ap"
"Turkey","r16.2_tu"
"United Arab Emirates","r16.1_me"
"United Kingdom","r10_uki"
"United States","r08_na"
"Vietnam","r17_ap"
